FIPS,Total_Pop,Log_Income,Pct_Poverty,Pct_White,Pct_Black,Pct_Degree
09110,969029,11.424553162341256,9.963169316914149,60.93532804487791,11.516373606981835,15.955972421877984
09120,326296,11.375225395473485,12.901169490278766,53.41867506803638,11.098818250913281,15.97813028661093
09130,174983,11.524043430704076,6.643502511672563,80.03977529245698,4.547298880462673,18.75439328391901
09140,452303,11.366349358824896,10.208864411688625,61.11014076846716,10.289783618503526,13.51372862881741
09150,95829,11.380136653706765,8.491166557096495,87.18968162038632,1.6811194940988636,11.04154274801991
09160,112848,11.419010311663804,9.05997447894513,82.68201474549836,2.5042535091450446,16.958209272649935
09170,566803,11.365202416920942,11.195424159716868,59.56566920076287,13.047743219425445,14.876950192571318
09180,279025,11.340783915622051,10.148552997043275,71.32049099543052,4.962637756473434,13.57763641250784
09190,621232,11.73249463579085,7.303551652200787,59.72921549437247,9.797305998403173,20.815894866974013
23001,112323,11.116900656681414,12.517471933620005,88.20811409951658,4.605468158792055,10.993296119227585
23003,67227,10.901450433054308,14.0166897228792,92.86596159281241,0.7169738349175183,11.550418730569563
23005,305940,11.440182714323544,6.849709093286266,86.7032751519906,3.2346211675491925,22.884225665163104
23007,30145,10.977175118345029,11.288770940454471,94.00232210980262,0.6103831481174324,14.227898490628629
23009,56084,11.150965149459202,9.968975108765424,93.17095784894087,0.8540760288139221,18.73261536267028
23011,125614,11.083111310246144,11.916665339850653,92.72294489467734,0.8008661454933367,13.81135860652475
23013,40860,11.183087174985056,8.379833578071464,94.05775819872736,0.36465981399902103,18.896231032794912
23015,35840,11.184796327703266,8.328683035714286,93.30636160714286,0.48828125,18.627232142857142
23017,58728,10.96705971055897,13.940539436044135,92.7853834627435,0.3030922217681515,11.193979021931618
23019,153571,11.054834596188103,12.923012808407838,91.43392958305931,0.9650259489096249,13.6438520293545
23021,17125,10.919352089306376,16.122627737226278,92.98686131386862,0.7591240875912408,12.315328467153284
23023,37093,11.315461843566249,11.01555549564608,92.41905480818482,0.5418812174803871,18.289165071576846
23025,50852,10.936672035881783,15.252104145363013,94.46826083536537,0.4739243294265712,10.792102572170219
23027,40006,11.133741950255953,12.478128280757886,92.98105284207368,0.46742988551717246,14.965255211718242
23029,31261,10.863565478378225,17.26112408432232,87.99142701768977,0.6749624132305428,12.050158344262819
23031,214731,11.325450652935473,7.650502256311385,90.75913584903903,1.0725046686319162,16.478757142657557
25001,230073,11.455857635262708,7.349406492721876,85.86014004250825,2.6995779600387704,20.40787054543558
25003,128047,11.192251771557805,10.528165439252774,85.71149655985693,2.299936741977555,15.213163916374455
25005,578436,11.340938323675331,11.383454695074304,76.6651798988998,3.9579140993990696,13.80031671611034
25007,20751,11.536143820646004,5.310587441569082,81.0948869933979,3.329960001927618,20.095417088333093
25009,807258,11.507229272425347,9.195944790884699,65.89950177018994,3.5074288517425654,17.457368028560882
25011,70922,11.192513567895528,11.996277600744481,87.92476241504752,1.3155297368940526,16.32215673556865
25013,462853,11.163878496766863,15.293624541701146,60.19708201091923,7.5900988002670395,11.743685360146742
25015,156595,11.366650357912595,9.419202401098376,81.304000766308,2.202496886873783,15.667166895494747
25017,1622896,11.750208579838157,7.279948930800248,66.66342143920497,4.810782699569165,20.365630329978014
25019,14299,11.693169865968983,2.9932163088327854,69.12371494510106,9.140499335617875,27.12077767676061
25021,724540,11.747981776748048,6.484114058575095,70.02304910701963,6.931018301267011,21.22215474645982
25023,531889,11.60549553045149,6.953894515585018,76.78613394900063,8.426006177980744,18.1163739050817
25025,782172,11.438848261573913,15.588515058069069,44.133387541359184,17.91639179106386,18.90236418588239
25027,861664,11.44637959712633,10.030359861848702,71.75267853827015,4.644966019237197,15.72039681360716
33001,64300,11.384910258747595,8.625194401244169,93.18973561430793,0.48989113530326595,14.752721617418352
33003,51259,11.326137950616673,7.364560369886264,94.33075167287696,0.5286876450964708,17.678846641565386
33005,76945,11.302229124707774,8.485281694717006,91.89031126129053,0.7381896159594515,15.422704529209174
33007,31386,10.975755865864636,12.049958580258714,92.85350156120563,1.4656216147326835,10.06818326642452
33009,91759,11.33883394829629,9.415970095576457,88.12214605651761,1.2391155091053738,15.573404243725411
33011,424732,11.51728594424719,6.386615559929555,80.94845690929809,2.309927201152727,18.251038301799724
33013,155018,11.450464783627623,6.828884387619502,90.60238165890414,1.4927298765304675,16.047813802268124
33015,317163,11.643321948899263,4.739203501038898,90.01775112481594,0.7674287353821222,20.599817759322494
33017,131743,11.368650855813177,8.213719134982504,88.1139794903714,1.1742559376968795,16.42971543080088
33019,43529,11.23756714220728,10.615911231592731,91.7801925153346,0.8201428932435848,14.383514438650094
34001,274704,11.249220301899896,12.830901625021843,54.532150969771095,13.198206069077989,14.494510454889625
34003,954717,11.725743895206188,6.6415492758587105,52.47953058340848,5.2945532550483545,22.23632762378799
34005,464226,11.564302755829976,6.618543554217126,63.65434077367489,15.82311201871502,19.146924127472396
34007,524042,11.366569328608882,12.009342762602998,53.44667030505188,17.72300693455868,14.896706752512204
34009,95236,11.385626041793648,8.577638708051577,84.42080725775966,3.0986181695997312,17.76849090679995
34011,152915,11.074420502783864,15.309158682928425,41.897786351894844,17.06307425694013,8.063957100349867
34013,854130,11.247826464518706,14.683830330277592,27.913198225094543,36.03936168967253,14.839427253462587
34015,304504,11.540618449986978,7.446864409006121,75.18817486798203,10.1121824343851,16.236239918030634
